Date,Station,Daily_MAX_AQI,Daily_MEDIAN_AQI
21-05-2019,Sirifort,437,219.5
22-05-2019,Sirifort,499,187
23-05-2019,Sirifort,500,226
24-05-2019,Sirifort,280,128
25-05-2019,Sirifort,208,146.5
26-05-2019,Sirifort,312,169
27-05-2019,Sirifort,361,189
28-05-2019,Sirifort,409,196.5
29-05-2019,Sirifort,469,197
30-05-2019,Sirifort,499,249
31-05-2019,Sirifort,490,336
01-06-2019,Sirifort,454,291
02-06-2019,Sirifort,361,199
03-06-2019,Sirifort,469,230.5
04-06-2019,Sirifort,301,174
05-06-2019,Sirifort,426,185
06-06-2019,Sirifort,400,228
07-06-2019,Sirifort,374,191
08-06-2019,Sirifort,446,177
09-06-2019,Sirifort,422,245.5
10-06-2019,Sirifort,500,226.5
11-06-2019,Sirifort,500,335
12-06-2019,Sirifort,401,212.5
13-06-2019,Sirifort,469,186.5
14-06-2019,Sirifort,403,204.5
15-06-2019,Sirifort,427,296
16-06-2019,Sirifort,500,116
17-06-2019,Sirifort,197,129
18-06-2019,Sirifort,221,113.5
19-06-2019,Sirifort,318,241
20-06-2019,Sirifort,364,144.5
21-06-2019,Sirifort,338,178
22-06-2019,Sirifort,355,182
23-06-2019,Sirifort,330,137
24-06-2019,Sirifort,274,225.5
25-06-2019,Sirifort,260,161.5
26-06-2019,Sirifort,229,157.5
27-06-2019,Sirifort,411,198.5
28-06-2019,Sirifort,495,224
29-06-2019,Sirifort,439,239
30-06-2019,Sirifort,445,236
01-07-2019,Sirifort,386,178
02-07-2019,Sirifort,345,244.5
03-07-2019,Sirifort,170,119
04-07-2019,Sirifort,149,98
05-07-2019,Sirifort,165,78
06-07-2019,Sirifort,294,98
07-07-2019,Sirifort,299,133
08-07-2019,Sirifort,401,214
09-07-2019,Sirifort,415,170
10-07-2019,Sirifort,474,201.5
11-07-2019,Sirifort,474,335
12-07-2019,Sirifort,482,367.5
13-07-2019,Sirifort,500,346
14-07-2019,Sirifort,500,300.5
15-07-2019,Sirifort,454,126
16-07-2019,Sirifort,183,102
17-07-2019,Sirifort,149,77
18-07-2019,Sirifort,158,51.5
19-07-2019,Sirifort,253,133.5
20-07-2019,Sirifort,402,130
21-07-2019,Sirifort,240,113
22-07-2019,Sirifort,168,110.5
23-07-2019,Sirifort,500,137
24-07-2019,Sirifort,361,202
25-07-2019,Sirifort,109,53
26-07-2019,Sirifort,128,75
27-07-2019,Sirifort,116,43
28-07-2019,Sirifort,140,50.5
29-07-2019,Sirifort,286,132.5
30-07-2019,Sirifort,484,221.5
31-07-2019,Sirifort,456,204
01-08-2019,Sirifort,455,186
02-08-2019,Sirifort,500,177.5
03-08-2019,Sirifort,481,161.5
04-08-2019,Sirifort,231,112
05-08-2019,Sirifort,182,104.5
06-08-2019,Sirifort,175,79
07-08-2019,Sirifort,226,104
08-08-2019,Sirifort,500,187
09-08-2019,Sirifort,440,173
10-08-2019,Sirifort,414,176
11-08-2019,Sirifort,418,137
12-08-2019,Sirifort,141,79
13-08-2019,Sirifort,160,58.5
14-08-2019,Sirifort,160,67.5
15-08-2019,Sirifort,142,64
16-08-2019,Sirifort,157,43
17-08-2019,Sirifort,37,21
18-08-2019,Sirifort,113,23
19-08-2019,Sirifort,179,98
20-08-2019,Sirifort,154,97
21-08-2019,Sirifort,385,176
22-08-2019,Sirifort,500,220
23-08-2019,Sirifort,500,247.5
24-08-2019,Sirifort,465,279
25-08-2019,Sirifort,270,130
26-08-2019,Sirifort,500,195.5
27-08-2019,Sirifort,500,195.5
28-08-2019,Sirifort,500,119
29-08-2019,Sirifort,421,187.5
30-08-2019,Sirifort,494,280
31-08-2019,Sirifort,405,153
01-09-2019,Sirifort,348,123.5
02-09-2019,Sirifort,500,266
03-09-2019,Sirifort,463,277.5
04-09-2019,Sirifort,500,218.5
05-09-2019,Sirifort,493,198.5
06-09-2019,Sirifort,264,121
07-09-2019,Sirifort,446,92
08-09-2019,Sirifort,183,110.5
09-09-2019,Sirifort,461,175
10-09-2019,Sirifort,434,236.5
11-09-2019,Sirifort,448,330
12-09-2019,Sirifort,500,289.5
13-09-2019,Sirifort,434,150
14-09-2019,Sirifort,394,177
15-09-2019,Sirifort,426,163.5
16-09-2019,Sirifort,426,198.5
17-09-2019,Sirifort,415,177.5
18-09-2019,Sirifort,376,193.5
19-09-2019,Sirifort,459,153
20-09-2019,Sirifort,500,227.5
21-09-2019,Sirifort,420,137.5
22-09-2019,Sirifort,298,74.5
23-09-2019,Sirifort,461,147.5
24-09-2019,Sirifort,500,171.5
25-09-2019,Sirifort,472,236.5
26-09-2019,Sirifort,485,175.5
27-09-2019,Sirifort,495,203.5
28-09-2019,Sirifort,476,202
29-09-2019,Sirifort,401,154
30-09-2019,Sirifort,500,209.5
01-10-2019,Sirifort,500,190
02-10-2019,Sirifort,480,151.5
03-10-2019,Sirifort,441,161.5
04-10-2019,Sirifort,181,103.5
05-10-2019,Sirifort,500,121
06-10-2019,Sirifort,496,162
07-10-2019,Sirifort,238,164
08-10-2019,Sirifort,499,195
09-10-2019,Sirifort,500,234.5
10-10-2019,Sirifort,500,311.5
11-10-2019,Sirifort,500,298.5
12-10-2019,Sirifort,500,294
13-10-2019,Sirifort,466,311
14-10-2019,Sirifort,463,307.5
15-10-2019,Sirifort,500,319.5
16-10-2019,Sirifort,489,347
17-10-2019,Sirifort,500,319
18-10-2019,Sirifort,500,285
19-10-2019,Sirifort,500,233.5
20-10-2019,Sirifort,500,325.5
21-10-2019,Sirifort,500,364
22-10-2019,Sirifort,500,304
23-10-2019,Sirifort,424,303
24-10-2019,Sirifort,500,409
25-10-2019,Sirifort,500,404
26-10-2019,Sirifort,500,408
27-10-2019,Sirifort,500,367
28-10-2019,Sirifort,500,412.5
29-10-2019,Sirifort,500,412
30-10-2019,Sirifort,500,434.5
31-10-2019,Sirifort,500,431
01-11-2019,Sirifort,500,500
02-11-2019,Sirifort,500,444
03-11-2019,Sirifort,500,500
04-11-2019,Sirifort,500,395
05-11-2019,Sirifort,474,401.5
06-11-2019,Sirifort,401,240
07-11-2019,Sirifort,423,368.5
08-11-2019,Sirifort,424,347
09-11-2019,Sirifort,430,335
10-11-2019,Sirifort,437,396
11-11-2019,Sirifort,500,402
12-11-2019,Sirifort,500,461
13-11-2019,Sirifort,500,490
14-11-2019,Sirifort,500,500
15-11-2019,Sirifort,500,497
16-11-2019,Sirifort,455,339.5
17-11-2019,Sirifort,357,253
18-11-2019,Sirifort,400,292
19-11-2019,Sirifort,418,305
20-11-2019,Sirifort,425,312.5
21-11-2019,Sirifort,461,362
22-11-2019,Sirifort,497,367
23-11-2019,Sirifort,445,324
24-11-2019,Sirifort,318,295
25-11-2019,Sirifort,356,308
26-11-2019,Sirifort,437,304
27-11-2019,Sirifort,331,175
28-11-2019,Sirifort,151,92.5
29-11-2019,Sirifort,394,111.5
30-11-2019,Sirifort,439,252.5
01-12-2019,Sirifort,343,302
02-12-2019,Sirifort,466,306.5
03-12-2019,Sirifort,456,304.5
04-12-2019,Sirifort,486,301.5
05-12-2019,Sirifort,500,371.5
06-12-2019,Sirifort,468,422
07-12-2019,Sirifort,500,428
08-12-2019,Sirifort,454,398.5
09-12-2019,Sirifort,477,372.5
10-12-2019,Sirifort,500,395
11-12-2019,Sirifort,500,419
12-12-2019,Sirifort,478,432
13-12-2019,Sirifort,322,248.5
14-12-2019,Sirifort,327,126.5
15-12-2019,Sirifort,328,250
16-12-2019,Sirifort,283,208
17-12-2019,Sirifort,341,189
18-12-2019,Sirifort,453,309
19-12-2019,Sirifort,445,358
20-12-2019,Sirifort,484,450.5
21-12-2019,Sirifort,448,417.5
22-12-2019,Sirifort,375,319
23-12-2019,Sirifort,410,349
24-12-2019,Sirifort,468,438.5
25-12-2019,Sirifort,451,332.5
26-12-2019,Sirifort,428,376
27-12-2019,Sirifort,478,378
28-12-2019,Sirifort,500,444.5
29-12-2019,Sirifort,500,484
30-12-2019,Sirifort,500,493
31-12-2019,Sirifort,500,376.5
01-01-2020,Sirifort,500,500
02-01-2020,Sirifort,500,488.5
03-01-2020,Sirifort,500,437
04-01-2020,Sirifort,452,388
05-01-2020,Sirifort,391,359.5
06-01-2020,Sirifort,420,352
07-01-2020,Sirifort,355,256.5
08-01-2020,Sirifort,333,302
09-01-2020,Sirifort,319,178
10-01-2020,Sirifort,422,305.5
11-01-2020,Sirifort,452,326
